"REF_DATE,""GEO"",""DGUID"",""Sex"",""Age group"",""Activity"",""Period of the week"",""Student response"",""UOM"",""UOM_ID"",""SCALAR_FACTOR"",""SCALAR_ID"",""VECTOR"",""COORDINATE"",""VALUE"",""STATUS"",""SYMBOL"",""TERMINATED"",""DECIMALS"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekend"",""About 5 hours"",""Percent"",""239"",""units "",""0"",""v29816954"",""3.1.2.2.2.7"",""5"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekend"",""About 6 hours"",""Percent"",""239"",""units "",""0"",""v29816955"",""3.1.2.2.2.8"",""4"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekend"",""About 7 hours or more"",""Percent"",""239"",""units "",""0"",""v29816956"",""3.1.2.2.2.9"",""10"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekdays"",""None at all"",""Percent"",""239"",""units "",""0"",""v29816957"",""3.1.3.1.1.1"",""6"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekdays"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29816958"",""3.1.3.1.1.2"",""10"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekdays"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29816959"",""3.1.3.1.1.3"",""20"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekdays"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29816960"",""3.1.3.1.1.4"",""24"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekdays"",""About 3 hours"",""Percent"",""239"",""units "",""0"",""v29816961"",""3.1.3.1.1.5"",""20"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekdays"",""About 4 hours"",""Percent"",""239"",""units "",""0"",""v29816962"",""3.1.3.1.1.6"",""10"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekdays"",""About 5 hours"",""Percent"",""239"",""units "",""0"",""v29816963"",""3.1.3.1.1.7"",""5"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekdays"",""About 6 hours"",""Percent"",""239"",""units "",""0"",""v29816964"",""3.1.3.1.1.8"",""3"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekdays"",""About 7 hours or more"",""Percent"",""239"",""units "",""0"",""v29816965"",""3.1.3.1.1.9"",""1"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekend"",""None at all"",""Percent"",""239"",""units "",""0"",""v29816966"",""3.1.3.1.2.1"",""3"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekend"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29816967"",""3.1.3.1.2.2"",""4"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekend"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29816968"",""3.1.3.1.2.3"",""9"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekend"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29816969"",""3.1.3.1.2.4"",""18"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekend"",""About 3 hours"",""Percent"",""239"",""units "",""0"",""v29816970"",""3.1.3.1.2.5"",""16"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekend"",""About 4 hours"",""Percent"",""239"",""units "",""0"",""v29816971"",""3.1.3.1.2.6"",""18"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekend"",""About 5 hours"",""Percent"",""239"",""units "",""0"",""v29816972"",""3.1.3.1.2.7"",""12"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekend"",""About 6 hours"",""Percent"",""239"",""units "",""0"",""v29816973"",""3.1.3.1.2.8"",""7"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Watching television"",""Weekend"",""About 7 hours or more"",""Percent"",""239"",""units "",""0"",""v29816974"",""3.1.3.1.2.9"",""13"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekdays"",""None at all"",""Percent"",""239"",""units "",""0"",""v29816975"",""3.1.3.2.1.1"",""22"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekdays"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29816976"",""3.1.3.2.1.2"",""19"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekdays"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29816977"",""3.1.3.2.1.3"",""21"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekdays"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29816978"",""3.1.3.2.1.4"",""18"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekdays"",""About 3 hours"",""Percent"",""239"",""units "",""0"",""v29816979"",""3.1.3.2.1.5"",""8"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekdays"",""About 4 hours"",""Percent"",""239"",""units "",""0"",""v29816980"",""3.1.3.2.1.6"",""4"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekdays"",""About 5 hours"",""Percent"",""239"",""units "",""0"",""v29816981"",""3.1.3.2.1.7"",""3"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekdays"",""About 6 hours"",""Percent"",""239"",""units "",""0"",""v29816982"",""3.1.3.2.1.8"",""1"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekdays"",""About 7 hours or more"",""Percent"",""239"",""units "",""0"",""v29816983"",""3.1.3.2.1.9"",""2"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekend"",""None at all"",""Percent"",""239"",""units "",""0"",""v29816984"",""3.1.3.2.2.1"",""10"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekend"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29816985"",""3.1.3.2.2.2"",""10"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekend"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29816986"",""3.1.3.2.2.3"",""14"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekend"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29816987"",""3.1.3.2.2.4"",""16"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekend"",""About 3 hours"",""Percent"",""239"",""units "",""0"",""v29816988"",""3.1.3.2.2.5"",""15"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekend"",""About 4 hours"",""Percent"",""239"",""units "",""0"",""v29816989"",""3.1.3.2.2.6"",""11"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekend"",""About 5 hours"",""Percent"",""239"",""units "",""0"",""v29816990"",""3.1.3.2.2.7"",""10"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekend"",""About 6 hours"",""Percent"",""239"",""units "",""0"",""v29816991"",""3.1.3.2.2.8"",""5"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""15 years"",""Using a computer"",""Weekend"",""About 7 hours or more"",""Percent"",""239"",""units "",""0"",""v29816992"",""3.1.3.2.2.9"",""10"","""","""","""",""0"""
